found_name,correct_name,notes
SAINT,SAINT LOUIS,
CHEATERFIELD,CHESTERFIELD,
COLUMMBIA,COLUMBIA,
CREVE,CEOUR,
EXCELSIOR,SPINGS,
FLORISSAMT,FLORISSANT,
FRONTINAC,FRONTENAC,
GLADSTON,GLADSTONE,
INDEPENDANCE,INDEPENDENCE,
JAACKSON,JACKSON,
JEFFERSON CTY,JEFFERSON CITY,
KANSA CITY,KANSAS CITY,
KANSAN CITY,KANSAS CITY,
"KANSAS CITY,",KANSAS CITY,
KANSAS DITY,KANSAS CITY,
KANSS CITY,KANSAS CITY,
KC,KANSAS CITY,
KENSAS CITY,KANSAS CITY,
KIANSAS CITY,KANSAS CITY,
LABANON,LEBANON,
LAKE ST. LOUIS,LAKE SAINT LOUIS,
LAKEST. LOUIS,LAKE SAINT LOUIS,
LAKE TAPWINGO,LAKE TAPAWINGO,
LAKE WRIMMEBAGO,LAKE WINNEBAGO,
LK WINNEBAGO,LAKE WINNEBAGO,
LEE'S SUMMIT,LEES SUMMIT,
LEE'S,LEES SUMMIT,
MARYLAND HTS,MARYLAND HEIGHTS,
MONTGOMERY CITY`,MONTGOMERY CITY,
O' FALLON,O FALLON,
O'FALLOM,O FALLON,
O'FALLON,O FALLON,
O. FALLON,O FALLON,
ROERSVILLE,ROGERSVILLE,
ROLL,ROLLA,
SAINT JOESPH,SAINT JOSEPH,
SAINT LOUIS CITY,SAINT LOUIS,
SAINTLOUIS,SAINT LOUIS,
SPINGFIELD,SPRINGFIELD,
SPRINGFFIELD,SPRINGFIELD,
SRPINGFIELD,SPRINGFIELD,
ST,SAINT LOUIS,
ST ALBANS,SAINT ALBANS,
ST ANN,SAINT ANN,
ST CHARLES,SAINT CHARLES,
ST CLAIR,SAINT CLAIR,
ST CLAIRE,SAINT CLAIR,
ST JAMES,SAINT JAMES,
ST JOSEPH,SAINT JOSEPH,
ST LOIUS,SAINT LOUIS,
ST LOUID,SAINT LOUIS,
ST LOUIS,SAINT LOUIS,
ST LOYIS,SAINT LOUIS,
ST PETERS,SAINT PETERS,
ST ROBERTS,SAINT ROBERT,
"ST,LOUIS",SAINT LOUIS,
ST. LOUIS,SAINT LOUIS,
ST. ALBANBS,SAINT ALBANS,
ST. ALBANS,SAINT ALBANS,
ST. ANN,SAINT ANN,
ST. CHALRES,SAINT CHARLES,
ST. CHARLES,SAINT CHARLES,
ST. CHRLES,SAINT CHARLES,
ST. JAMES,SAINT JAMES,
ST. JOSEPH,SAINT JOSEPH,
ST. JOSEPH MO.,SAINT JOSEPH,
"ST. JOSEPH,",SAINT JOSEPH,
ST. LOIUS,SAINT LOUIS,
ST. LOUID,SAINT LOUIS,
ST. LOUIS COUNTY,SAINT LOUIS,
"ST. LOUIS,",SAINT LOUIS,
ST. LOUISE,SAINT LOUIS,
ST. LOUIW,SAINT LOUIS,
ST. LUOIS,SAINT LOUIS,
ST. MARY,SAINT MARY,
ST. PAUL,SAINT PAUL,
ST. PETERS,SAINT PETERS,
"ST. PETERS,",SAINT PETERS,
ST. ROBERT,SAINT ROBERT,
ST.. LOUIS,SAINT LOUIS,
ST.LOUIS,SAINT LOUIS,
STLOUIS,SAINT LOUIS,
SUNSET HILLS MO,SUNSET HILLS,
T. LOUIS MO,SAINT LOUIS,
TOWN & COUNTRY,TOWN AND COUNTRY,
TOWN COUNTRY,TOWN AND COUNTRY,
UNIVERSITY,UNIVERSITY CITY,
UNIVERSITY CY,UNIVERSITY CITY,
UNVIERSITY CITY,UNIVERSITY CITY,
VILLAGE OF LOCH LLOY,VILLAGE OF LOCH LL,
VILLAGE OF LOCH LLOYD,VILLAGE OF LOCH LL,
VLG LOCH LOYD,VILLAGE OF LOCH LL,
